year,state,latitude,longitude,temp_mean_c,temp_max_c,temp_min_c,precipitation_mm,humidity_pct,solar_radiation,wind_speed_ms
201611,Minnesota,46.729,-94.685,2.77,19.29,-12.05,1.73,84.39,6.19,3.23
201612,Minnesota,46.729,-94.685,-10.64,0.96,-32.28,1.06,89.45,4.24,4.45
201613,Minnesota,46.729,-94.685,6.51,31.75,-32.28,2.2,78.29,13.15,3.6
201701,Minnesota,46.729,-94.685,-12.3,0.67,-33.88,0.7,95.83,5.79,3.46
201702,Minnesota,46.729,-94.685,-6.75,12.54,-25.24,0.92,89.66,9.42,4.32
201703,Minnesota,46.729,-94.685,-2.47,15.89,-22.43,0.48,74.68,13.89,4.33
201704,Minnesota,46.729,-94.685,6.19,18.38,-5.17,2.29,75.29,16.31,3.66
201705,Minnesota,46.729,-94.685,11.5,22.94,0.9,2.35,73.73,19.57,3.53
201706,Minnesota,46.729,-94.685,18.66,29.23,7.34,2.65,66.05,23.85,3.35
201707,Minnesota,46.729,-94.685,22.53,35.66,10.55,1.63,60.96,22.96,2.67
201708,Minnesota,46.729,-94.685,18.67,30.6,9.62,5.28,69.61,17.58,2.7
201709,Minnesota,46.729,-94.685,16.22,28.95,4.81,3.26,74.18,13.58,3.44
201710,Minnesota,46.729,-94.685,7.27,20.87,-6.0,2.27,75.93,9.65,3.85
201711,Minnesota,46.729,-94.685,-3.16,7.51,-15.05,0.42,84.23,5.36,3.75
201712,Minnesota,46.729,-94.685,-11.38,5.28,-34.06,0.62,87.53,3.57,3.73
201713,Minnesota,46.729,-94.685,5.47,35.66,-34.06,1.91,77.23,13.48,3.56
201801,Minnesota,46.729,-94.685,-13.3,1.35,-32.61,0.29,91.33,5.98,4.09
201802,Minnesota,46.729,-94.685,-13.81,1.93,-29.47,1.04,88.65,10.29,4.0
201803,Minnesota,46.729,-94.685,-3.16,8.24,-16.83,1.11,80.77,13.44,3.83
201804,Minnesota,46.729,-94.685,1.19,23.26,-15.72,0.5,69.95,20.39,3.59
201805,Minnesota,46.729,-94.685,16.51,31.52,1.51,1.62,67.15,21.2,2.97
201806,Minnesota,46.729,-94.685,19.47,31.02,7.45,5.0,75.23,20.83,3.14
201807,Minnesota,46.729,-94.685,21.27,31.82,10.18,4.14,70.38,22.71,2.72
201808,Minnesota,46.729,-94.685,20.9,32.43,7.98,2.3,68.21,16.96,2.56
201809,Minnesota,46.729,-94.685,15.34,30.75,-1.24,2.64,72.29,12.57,3.31
201810,Minnesota,46.729,-94.685,3.53,18.33,-8.56,2.97,82.24,8.01,3.54
201811,Minnesota,46.729,-94.685,-6.04,6.08,-17.33,0.58,84.87,4.63,3.28
201812,Minnesota,46.729,-94.685,-7.65,2.88,-26.11,0.9,91.32,3.67,3.33
201813,Minnesota,46.729,-94.685,4.64,32.43,-32.61,1.93,78.48,13.4,3.36
201901,Minnesota,46.729,-94.685,-16.94,0.55,-41.7,0.48,95.13,5.88,3.59
201902,Minnesota,46.729,-94.685,-14.69,-1.91,-32.52,1.2,95.7,10.08,3.63
201903,Minnesota,46.729,-94.685,-5.35,14.12,-29.61,1.35,87.35,15.89,3.77
201904,Minnesota,46.729,-94.685,4.67,22.97,-4.91,2.29,77.49,16.42,3.77
201905,Minnesota,46.729,-94.685,10.05,26.77,-2.87,2.7,75.25,18.7,3.36
201906,Minnesota,46.729,-94.685,17.82,28.56,6.65,3.29,75.66,21.68,2.94
201907,Minnesota,46.729,-94.685,21.85,31.2,11.66,2.72,71.04,22.23,2.5
