state,year_num,temp_mean_c,temp_max_c,temp_min_c,precipitation_mm,humidity_pct,solar_radiation,wind_speed_ms
Indiana,2014,8.892307692307693,23.133846153846154,-7.113076923076923,36.379999999999995,79.16307692307691,14.173846153846153,3.2146153846153847
Indiana,2015,10.586153846153847,24.106923076923074,-5.153846153846154,39.48,79.13153846153847,14.286923076923076,3.126923076923077
Indiana,2016,11.651538461538461,26.39153846153846,-3.5861538461538465,33.87,78.69461538461539,14.261538461538462,3.1284615384615386
Indiana,2017,11.327692307692306,25.807692307692307,-3.953076923076923,43.51,78.57615384615384,14.593076923076923,3.204615384615385
Indiana,2018,10.66,25.02076923076923,-3.773076923076923,39.99,80.73307692307692,14.197692307692307,3.108461538461538
Indiana,2019,10.625384615384615,24.606923076923074,-5.443076923076922,36.11,80.44461538461539,13.794615384615385,3.1792307692307693
Indiana,2020,11.285384615384617,25.640769230769234,-3.6046153846153848,32.18,76.96846153846154,14.142307692307693,3.072307692307692
Indiana,2021,11.44,25.509999999999998,-3.102307692307692,38.04,77.23538461538462,14.460769230769232,3.0553846153846154
Indiana,2022,10.785384615384617,25.72153846153846,-4.479230769230769,28.87,74.27538461538462,14.447692307692307,3.322307692307692
Indiana,2023,11.956153846153846,27.200000000000003,-2.2115384615384617,28.9,72.15307692307692,14.375384615384615,2.9992307692307696
Iowa,2010,8.69923076923077,22.411538461538463,-7.65923076923077,42.72,83.98615384615384,15.075384615384614,3.1723076923076925
Iowa,2011,9.364615384615384,25.576153846153847,-5.486923076923078,27.560000000000002,77.26615384615386,14.33,3.313846153846154
Iowa,2012,11.766153846153847,29.036923076923078,-4.093076923076923,21.33,66.87384615384616,15.772307692307692,3.3415384615384616
Iowa,2013,8.405384615384616,24.923846153846153,-6.959999999999999,30.270000000000003,75.38230769230769,14.634615384615385,3.413846153846154
Iowa,2014,7.66,22.826153846153847,-8.723076923076922,35.27,77.50076923076924,14.166153846153845,3.471538461538462
Iowa,2015,9.647692307692308,23.955384615384617,-6.660769230769231,37.68,77.49230769230769,14.713846153846154,3.2676923076923075
Iowa,2016,10.273076923076925,24.319230769230767,-5.9715384615384615,30.92,80.22692307692309,14.839230769230769,3.2823076923076924
Iowa,2017,10.39846153846154,26.006153846153843,-4.9692307692307685,26.05,72.89461538461538,14.688461538461537,3.3907692307692305
Iowa,2018,8.816153846153846,24.56692307692308,-5.743846153846154,39.96,78.67076923076924,14.361538461538462,3.1630769230769236
Iowa,2019,8.197692307692307,22.450000000000003,-8.37076923076923,34.2,83.87384615384615,14.24923076923077,3.2684615384615388
Iowa,2020,9.532307692307693,25.467692307692307,-4.973846153846154,26.66,76.79384615384616,14.797692307692309,3.3053846153846154
Iowa,2021,10.595384615384615,27.103846153846156,-4.785384615384616,23.01,72.46000000000001,15.16,3.281538461538461
Iowa,2022,9.160769230769231,26.363076923076925,-6.569999999999999,24.009999999999998,70.56769230769231,15.100769230769231,3.58
Iowa,2023,10.97923076923077,27.756153846153843,-5.176153846153846,21.509999999999998,69.94384615384615,14.998461538461537,3.176153846153846
Kansas,2010,12.881538461538462,28.042307692307695,-1.5561538461538464,31.72,71.85461538461539,16.054615384615385,3.4007692307692308
Kansas,2011,13.538461538461538,32.292307692307695,-1.5115384615384615,25.7,62.396153846153844,16.26846153846154,3.5461538461538464
Kansas,2012,15.210769230769232,31.643846153846155,-0.3969230769230768,20.12,60.41615384615385,16.897692307692306,3.479230769230769
Kansas,2013,12.2,30.013076923076923,-2.1153846153846154,32.480000000000004,67.50384615384615,15.636153846153848,3.566923076923077
Kansas,2014,12.425384615384615,28.863076923076925,-5.089230769230769,25.56,64.15461538461538,16.10153846153846,3.670769230769231
Kansas,2015,13.528461538461539,29.136923076923075,-1.343076923076923,33.55,68.71076923076923,15.803846153846155,3.3484615384615384
Kansas,2016,13.991538461538461,28.78923076923077,-0.8215384615384618,33.31,71.97692307692309,16.41769230769231,3.394615384615385
Kansas,2017,13.993076923076924,29.886923076923075,-0.8292307692307693,27.56,66.83692307692307,16.16769230769231,3.553846153846154
Kansas,2018,12.94,28.467692307692307,-1.5784615384615388,33.14,68.74461538461539,15.783076923076923,3.4284615384615384
