state,year,crop,yield_bu_acre,temp_mean_c,temp_max_c,temp_min_c,precipitation_mm,humidity_pct,solar_radiation,wind_speed_ms
INDIANA,2017,WHEAT,71.37042253521128,11.327692307692306,25.807692307692307,-3.953076923076923,43.51,78.57615384615384,14.593076923076923,3.204615384615385
INDIANA,2018,CORN,187.18117647058824,10.66,25.02076923076923,-3.773076923076923,39.99,80.73307692307692,14.197692307692307,3.108461538461538
INDIANA,2018,SOYBEANS,56.11494252873563,10.66,25.02076923076923,-3.773076923076923,39.99,80.73307692307692,14.197692307692307,3.108461538461538
INDIANA,2018,WHEAT,69.87333333333332,10.66,25.02076923076923,-3.773076923076923,39.99,80.73307692307692,14.197692307692307,3.108461538461538
INDIANA,2019,CORN,162.01666666666665,10.625384615384617,24.60692307692307,-5.443076923076922,36.11,80.44461538461539,13.794615384615383,3.1792307692307693
INDIANA,2019,SOYBEANS,49.68125,10.625384615384617,24.60692307692307,-5.443076923076922,36.11,80.44461538461539,13.794615384615383,3.1792307692307693
INDIANA,2019,WHEAT,61.641935483870974,10.625384615384617,24.60692307692307,-5.443076923076922,36.11,80.44461538461539,13.794615384615383,3.1792307692307693
INDIANA,2020,CORN,184.36444444444444,11.285384615384617,25.640769230769234,-3.6046153846153848,32.18,76.96846153846154,14.142307692307693,3.072307692307692
INDIANA,2020,SOYBEANS,58.17078651685393,11.285384615384617,25.640769230769234,-3.6046153846153848,32.18,76.96846153846154,14.142307692307693,3.072307692307692
INDIANA,2020,WHEAT,68.9322033898305,11.285384615384617,25.640769230769234,-3.6046153846153848,32.18,76.96846153846154,14.142307692307693,3.072307692307692
INDIANA,2021,CORN,192.28108108108108,11.44,25.51,-3.102307692307692,38.04,77.23538461538462,14.460769230769232,3.0553846153846154
INDIANA,2021,SOYBEANS,58.82837837837838,11.44,25.51,-3.102307692307692,38.04,77.23538461538462,14.460769230769232,3.0553846153846154
INDIANA,2021,WHEAT,82.7925925925926,11.44,25.51,-3.102307692307692,38.04,77.23538461538462,14.460769230769232,3.0553846153846154
INDIANA,2022,CORN,187.34146341463415,10.785384615384617,25.72153846153846,-4.479230769230769,28.87,74.27538461538462,14.447692307692307,3.322307692307692
INDIANA,2022,SOYBEANS,56.840476190476195,10.785384615384617,25.72153846153846,-4.479230769230769,28.87,74.27538461538462,14.447692307692307,3.322307692307692
INDIANA,2022,WHEAT,80.74791666666667,10.785384615384617,25.72153846153846,-4.479230769230769,28.87,74.27538461538462,14.447692307692307,3.322307692307692
INDIANA,2023,CORN,199.572,11.956153846153846,27.200000000000003,-2.2115384615384617,28.9,72.15307692307692,14.375384615384617,2.9992307692307696
INDIANA,2023,SOYBEANS,59.62533333333333,11.956153846153846,27.200000000000003,-2.2115384615384617,28.9,72.15307692307692,14.375384615384617,2.9992307692307696
INDIANA,2023,WHEAT,92.80178571428571,11.956153846153846,27.200000000000003,-2.2115384615384617,28.9,72.15307692307692,14.375384615384617,2.9992307692307696
IOWA,2010,CORN,143.3527777777778,8.69923076923077,22.411538461538463,-7.65923076923077,42.72,83.98615384615384,15.075384615384614,3.1723076923076925
IOWA,2010,SOYBEANS,50.43636363636364,8.69923076923077,22.411538461538463,-7.65923076923077,42.72,83.98615384615384,15.075384615384614,3.1723076923076925
IOWA,2011,CORN,133.71984126984128,9.364615384615384,25.576153846153847,-5.486923076923078,27.56,77.26615384615386,14.33,3.313846153846154
IOWA,2011,SOYBEANS,50.98787878787879,9.364615384615384,25.576153846153847,-5.486923076923078,27.56,77.26615384615386,14.33,3.313846153846154
IOWA,2012,CORN,116.83571428571427,11.766153846153848,29.03692307692308,-4.093076923076923,21.33,66.87384615384616,15.772307692307692,3.3415384615384616
IOWA,2012,SOYBEANS,44.69595959595959,11.766153846153848,29.03692307692308,-4.093076923076923,21.33,66.87384615384616,15.772307692307692,3.3415384615384616
IOWA,2013,CORN,134.82166666666666,8.405384615384616,24.923846153846153,-6.959999999999999,30.270000000000003,75.38230769230769,14.634615384615383,3.413846153846154
IOWA,2013,SOYBEANS,44.78181818181818,8.405384615384616,24.923846153846153,-6.959999999999999,30.270000000000003,75.38230769230769,14.634615384615383,3.413846153846154
IOWA,2014,CORN,156.11913043478262,7.66,22.826153846153847,-8.723076923076922,35.27,77.50076923076924,14.166153846153843,3.471538461538462
IOWA,2014,SOYBEANS,50.5959595959596,7.66,22.826153846153847,-8.723076923076922,35.27,77.50076923076924,14.166153846153843,3.471538461538462
